term,class,prob
運動,5,0.0000389635690629261616583
使,1,0.0003326311120966847522697
使,3,0.0004199563245422475977163
使,2,0.0000650681588964440246617
使,5,0.0001558542762517046466331
那天,1,0.0003326311120966847522697
那天,3,0.0000359962563893355085693
那天,2,0.0000650681588964440246617
那天,5,0.0005844535359438924248740
不足,1,0.0001108770373655615886074
不足,3,0.0001199875212977850240468
不足,2,0.0000325340794482220123309
不足,5,0.0000389635690629261616583
一項,1,0.0001108770373655615886074
一項,3,0.0001199875212977850240468
一項,2,0.0000325340794482220123309
一項,5,0.0000389635690629261616583
煩惱,1,0.0001108770373655615886074
煩惱,3,0.0000959900170382280273689
煩惱,2,0.0000325340794482220123309
煩惱,5,0.0000389635690629261616583
一個,1,0.0023284177846767933200978
一個,3,0.0036596193995824433282948
一個,2,0.0041643621693724175783502
一個,5,0.0044418468731735830795637
再,1,0.0008870162989244927088592
再,3,0.0012478702214969643151388
再,2,0.0007482838273091062903861
再,5,0.0013637249172024157664596
水瓶座,1,0.0001108770373655615886074
水瓶座,3,0.0004679513330613616181770
水瓶座,2,0.0000325340794482220123309
水瓶座,5,0.0000389635690629261616583
萌樣,1,0.0006652622241933695045393
萌樣,3,0.0000119987521297785034211
萌樣,2,0.0000325340794482220123309
萌樣,5,0.0000389635690629261616583
女人,1,0.0001108770373655615886074
女人,3,0.0006839288713973747102504
女人,2,0.0006181475095162182681677
女人,5,0.0027664134034677575861572
20,1,0.0001108770373655615886074
20,3,0.0004439538288018046079467
20,2,0.0003578748739304421153107
20,5,0.0006234171050068185865323
感人,1,0.0003326311120966847522697
感人,3,0.0000239975042595570068422
感人,2,0.0000325340794482220123309
感人,5,0.0003117085525034092932661
宣布,1,0.0001108770373655615886074
宣布,3,0.0000239975042595570068422
宣布,2,0.0002928067150339981042015
宣布,5,0.0000389635690629261616583
粉絲,1,0.0005543851868278080107996
粉絲,3,0.0002159775383360130649683
粉絲,2,0.0010085564628948824432431
粉絲,5,0.0000389635690629261616583
水,1,0.0003326311120966847522697
水,3,0.0003959588202826905874859
水,2,0.0000325340794482220123309
水,5,0.0000779271381258523233165
爆料,1,0.0001108770373655615886074
爆料,3,0.0000119987521297785034211
爆料,2,0.0006832156684126622792769
爆料,5,0.0000389635690629261616583
2015,1,0.0001108770373655615886074
2015,3,0.0002159775383360130649683
2015,2,0.0004229430328268861806300
2015,5,0.0000389635690629261616583
作用,1,0.0001108770373655615886074
作用,3,0.0005879388543591466693289
作用,2,0.0000650681588964440246617
作用,5,0.0000779271381258523233165
個性,1,0.0002217540747311231772148
個性,3,0.0003359650596337980890151
個性,2,0.0004229430328268861806300
個性,5,0.0000389635690629261616583
效果,1,0.0003326311120966847522697
效果,3,0.0007439226320462671545111
效果,2,0.0000976022383446660437688
效果,5,0.0000779271381258523233165
確實,1,0.0001108770373655615886074
確實,3,0.0001559837776871205393923
確實,2,0.0004880111917233301917392
確實,5,0.0000779271381258523233165
分泌,1,0.0001108770373655615886074
分泌,3,0.0001079887691680065324841
分泌,2,0.0000325340794482220123309
分泌,5,0.0000389635690629261616583
透露,1,0.0001108770373655615886074
透露,3,0.0000719925127786710171386
透露,2,0.0004880111917233301917392
透露,5,0.0000779271381258523233165
牠,1,0.0102006874376316669650322
牠,3,0.0000839912649084495222538
牠,2,0.0000650681588964440246617
牠,5,0.0000389635690629261616583
日,1,0.0001108770373655615886074
日,3,0.0003479638117635765670252
日,2,0.0011061587012395485141170
日,5,0.0002727449834404831316079
告訴,1,0.0004435081494622463544296
告訴,3,0.0002639725468551270583240
告訴,2,0.0004880111917233301917392
告訴,5,0.0012468342100136371730645
財富,1,0.0001108770373655615886074
財富,3,0.0001079887691680065324841
財富,2,0.0000325340794482220123309
財富,5,0.0000389635690629261616583
也許,1,0.0002217540747311231772148
也許,3,0.0005039475894506971606276
也許,2,0.0001301363177928880493234
也許,5,0.0003506721215663354549244
很難,1,0.0001108770373655615886074
很難,3,0.0002639725468551270583240
很難,2,0.0001952044766893320875377
很難,5,0.0000389635690629261616583
清新,1,0.0001108770373655615886074
清新,3,0.0002759712989849055905442
清新,2,0.0000650681588964440246617
清新,5,0.0000389635690629261616583
好運,1,0.0001108770373655615886074
好運,3,0.0000959900170382280273689
好運,2,0.0000325340794482220123309
好運,5,0.0000389635690629261616583
如,1,0.0001108770373655615886074
如,3,0.0003119675553742410787847
如,2,0.0001952044766893320875377
如,5,0.0002727449834404831316079
膳食,1,0.0001108770373655615886074
膳食,3,0.0000959900170382280273689
膳食,2,0.0000325340794482220123309
膳食,5,0.0000389635690629261616583
渴望,1,0.0001108770373655615886074
渴望,3,0.0001319862734275635291620
渴望,2,0.0000325340794482220123309
渴望,5,0.0000389635690629261616583
角色,1,0.0003326311120966847522697
角色,3,0.0004319550766720261299365
角色,2,0.0008784201451019943126045
角色,5,0.0000389635690629261616583
運勢,1,0.0001108770373655615886074
運勢,3,0.0002159775383360130649683
運勢,2,0.0000325340794482220123309
運勢,5,0.0000389635690629261616583
採訪,1,0.0001108770373655615886074
採訪,3,0.0000119987521297785034211
採訪,2,0.0001952044766893320875377
採訪,5,0.0001558542762517046466331
兩側,1,0.0001108770373655615886074
兩側,3,0.0001679825298168990445075
兩側,2,0.0000325340794482220123309
兩側,5,0.0000389635690629261616583
笑,1,0.0008870162989244927088592
笑,3,0.0002279762904657915700835
笑,2,0.0002602726355857760986469
笑,5,0.0007792713812585232331653
開水,1,0.0001108770373655615886074
開水,3,0.0001319862734275635291620
開水,2,0.0000325340794482220123309
開水,5,0.0000389635690629261616583
做成,1,0.0001108770373655615886074
做成,3,0.0001439850255573420342772
做成,2,0.0000650681588964440246617
做成,5,0.0000389635690629261616583
迷人,1,0.0002217540747311231772148
迷人,3,0.0001559837776871205393923
迷人,2,0.0000325340794482220123309
迷人,5,0.0000389635690629261616583
從,1,0.0011087703736556160215992
從,3,0.0011518802044587362742173
從,2,0.0015616358135146567003015
